Sr.,Category,Quantity,Rate,Amount,% Amount
323,Work Es,5,619.51,3097.55,0.07
323,Work Es,1,619.50,619.50,0.01
323,Work Es,3,966.02,2898.06,0.07
324,Work Saree,1,1314.00,1314.00,0.03
324,Work Saree,2,1314.00,2628.00,0.06
324,Work Saree,1,1125.00,1125.00,0.03
324,Work Saree,3,1249.50,3748.50,0.08
324,Work Saree,3,1408.00,4224.00,0.10
324,Work Saree,2,1881.00,3762.00,0.08
324,Work Saree,1,1975.00,1975.00,0.04
324,Work Saree,2,1408.00,2816.00,0.06
324,Work Saree,2,1219.05,2438.10,0.06
324,Work Saree,1,1502.55,1502.55,0.03
324,Work Saree,4,1354.50,5418.00,0.12
324,Work Saree,1,1459.50,1459.50,0.03
324,Work Saree,3,1669.50,5008.50,0.11
324,Work Saree,1,1039.50,1039.50,0.02
324,Work Saree,2,1249.50,2499.00,0.06
324,Work Saree,2,1879.50,3759.00,0.08
324,Work Saree,2,2047.50,4095.00,0.09
324,Work Saree,1,2509.51,2509.51,0.06
324,Work Saree,5,1879.51,9397.55,0.21
324,Work Saree,1,1249.51,1249.51,0.03
324,Work Saree,5,2089.51,10447.55,0.24
324,Work Saree,3,1669.51,5008.53,0.11
324,Work Saree,1,1669.51,1669.51,0.04
324,Work Saree,30,735.00,22050.00,0.50
324,Work Saree,1,1985.00,1985.00,0.04
324,Work Saree,2,1250.00,2500.00,0.06
324,Work Saree,3,935.00,2805.00,0.06
324,Work Saree,3,2720.00,8160.00,0.18
324,Work Saree,4,1670.00,6680.00,0.15
324,Work Saree,3,830.00,2490.00,0.06
324,Work Saree,29,577.51,16747.79,0.38
324,Work Saree,28,577.50,16170.00,0.37
325,Work-S,5,473.00,2365.00,0.05
326,Work-S.,5,746.00,3730.00,0.08
326,Work-S.,1,598.00,598.00,0.01
326,Work-S.,1,1012.00,1012.00,0.02
326,Work-S.,1,983.00,983.00,0.02
326,Work-S.,2,574.00,1148.00,0.03
326,Work-S.,5,409.00,2045.00,0.05
326,Work-S.,3,408.97,1226.91,0.03
326,Work-S.,1,738.00,738.00,0.02
326,Work-S.,2,539.80,1079.60,0.02
326,Work-S.,2,1990.00,3980.00,0.09
326,Work-S.,2,1890.00,3780.00,0.09
326,Work-S.,3,1990.00,5970.00,0.13
326,Work-S.,1,1491.00,1491.00,0.03
326,Work-S.,5,2489.00,12445.00,0.28
326,Work-S.,4,1691.00,6764.00,0.15
326,Work-S.,4,2988.00,11952.00,0.27
326,Work-S.,3,2289.00,6867.00,0.16
326,Work-S.,2,1691.00,3382.00,0.08
326,Work-S.,3,2190.00,6570.00,0.15
326,Work-S.,5,1149.81,5749.05,0.13
326,Work-S.,1,834.68,834.68,0.02
326,Work-S.,1,473.00,473.00,0.01
329,Zarkhand Dimond,2,1569.77,3139.54,0.07
N/A,Total :,5856,N/A,N/A,N/A
