Sr.,Category,Quantity,Rate,Amount,% Amount
101,Cotton Silk,2,524.00,1048.00,0.02
101,Cotton Silk,1,519.75,519.75,0.01
101,Cotton Silk,1,813.76,813.76,0.02
101,Cotton Silk,1,336.00,336.00,0.01
101,Cotton Silk,2,325.50,651.00,0.01
101,Cotton Silk,1,512.68,512.68,0.01
103,Cotton Silk1,2,551.25,1102.50,0.02
104,Crape,3,242.00,726.00,0.02
106,Designer,1,913.00,913.00,0.02
112,Dharma Silk,1,748.12,748.12,0.02
113,Dharma Varm,1,693.01,693.01,0.02
115,Digital,2,393.76,787.52,0.02
115,Digital,1,709.00,709.00,0.02
116,Digital  Fancy,1,577.50,577.50,0.01
119,Digital Fancy,1,431.00,431.00,0.01
119,Digital Fancy,2,430.50,861.00,0.02
120,Digital Print,1,708.76,708.76,0.02
120,Digital Print,1,472.50,472.50,0.01
120,Digital Print,2,347.00,694.00,0.02
124,Digital..,1,685.00,685.00,0.02
125,Dola  Silk,1,326.00,326.00,0.01
126,Dola Buti,2,829.50,1659.00,0.04
127,Dola Silk,1,735.00,735.00,0.02
131,Fanc Y,1,556.50,556.50,0.01
131,Fanc Y,2,603.75,1207.50,0.03
131,Fanc Y,2,703.50,1407.00,0.03
131,Fanc Y,2,635.25,1270.50,0.03
132,Fancy,1,1034.00,1034.00,0.02
132,Fancy,1,278.25,278.25,0.01
132,Fancy,4,231.00,924.00,0.02
132,Fancy,1,735.00,735.00,0.02
132,Fancy,4,367.50,1470.00,0.03
132,Fancy,2,761.25,1522.50,0.03
134,Fancy  Silk,2,341.00,682.00,0.02
137,Fancy Net,1,573.55,573.55,0.01
138,Fancy Pattu Saree,1,634.72,634.72,0.01
139,Fancy Saree,1,708.75,708.75,0.02
140,Fancy Saree.,1,247.00,247.00,0.01
140,Fancy Saree.,1,278.00,278.00,0.01
140,Fancy Saree.,1,404.00,404.00,0.01
141,Fancy Silk,1,252.00,252.00,0.01
141,Fancy Silk,1,273.01,273.01,0.01
141,Fancy Silk,1,965.00,965.00,0.02
142,Fancy Silk ..,1,1013.26,1013.26,0.02
142,Fancy Silk ..,1,819.00,819.00,0.02
144,Fancy.,2,630.00,1260.00,0.03
147,Ghadwal,2,714.00,1428.00,0.03
150,Ghadwal Em,3,324.19,972.57,0.02
150,Ghadwal Em,2,503.73,1007.46,0.02
152,Ghadwal.,1,732.38,732.38,0.02
154,Hand Work B/P,1,1496.25,1496.25,0.03
157,Induri Border,1,383.00,383.00,0.01
158,Ircal,1,735.00,735.00,0.02
159,Irkal,1,777.00,777.00,0.02
160,Jal,2,336.00,672.00,0.02
160,Jal,5,368.00,1840.00,0.04
161,Jal Work,2,787.50,1575.00,0.04
166,Jari,1,1102.52,1102.52,0.02
171,Kadiyal Silk,1,1260.00,1260.00,0.03
172,Kalmkari,6,274.00,1644.00,0.04
173,Kalyani,2,693.00,1386.00,0.03
174,Kanjivaram,1,1045.00,1045.00,0.02
174,Kanjivaram,1,1354.51,1354.51,0.03
174,Kanjivaram,2,919.00,1838.00,0.04
174,Kanjivaram,1,573.57,573.57,0.01
175,Kanjivarm,2,549.00,1098.00,0.02
175,Kanjivarm,2,673.30,1346.60,0.03
176,Kanjiwarm,1,862.00,862.00,0.02
176,Kanjiwarm,1,1392.00,1392.00,0.03
176,Kanjiwarm,2,504.00,1008.00,0.02
176,Kanjiwarm,1,656.27,656.27,0.01
176,Kanjiwarm,3,278.00,834.00,0.02
178,Kerla,1,629.98,629.98,0.01
179,Kerla Cotton,2,299.26,598.52,0.01
182,Kochampali Silk,1,599.00,599.00,0.01
186,Linan,1,378.00,378.00,0.01
186,Linan,2,368.00,736.00,0.02
188,Linan.,1,773.00,773.00,0.02
189,Linen,1,513.70,513.70,0.01
189,Linen,6,220.50,1323.00,0.03
190,Linen Cotten,1,378.00,378.00,0.01
196,Malai Silk,1,283.00,283.00,0.01
197,Mau  Silk,2,708.74,1417.48,0.03
197,Mau  Silk,2,940.00,1880.00,0.04
197,Mau  Silk,1,761.00,761.00,0.02
197,Mau  Silk,2,488.00,976.00,0.02
197,Mau  Silk,1,467.00,467.00,0.01
197,Mau  Silk,1,315.00,315.00,0.01
199,Mau Silk,1,624.76,624.76,0.01
199,Mau Silk,2,708.74,1417.48,0.03
199,Mau Silk,1,887.00,887.00,0.02
199,Mau Silk,2,898.00,1796.00,0.04
202,Maysure Silk,1,776.00,776.00,0.02
204,Moss Crape,6,215.25,1291.50,0.03
205,Mul Cottan,3,625.00,1875.00,0.04
207,Muniya Paithani,2,648.00,1296.00,0.03
207,Muniya Paithani,2,648.37,1296.74,0.03
208,Narayan Peth,1,540.75,540.75,0.01
208,Narayan Peth,1,688.00,688.00,0.02
208,Narayan Peth,1,368.00,368.00,0.01
211,Nath Paithani,2,514.50,1029.00,0.02
211,Nath Paithani,1,1044.76,1044.76,0.02
213,Nauvari Printed,1,550.19,550.19,0.01
213,Nauvari Printed,1,550.00,550.00,0.01
216,Navvari Printed,3,550.21,1650.63,0.04
221,Paithani,1,1228.51,1228.51,0.03
221,Paithani,1,1543.52,1543.52,0.03
221,Paithani,1,1417.50,1417.50,0.03
221,Paithani,1,1575.00,1575.00,0.04
221,Paithani,1,1025.00,1025.00,0.02
221,Paithani,1,1375.00,1375.00,0.03
221,Paithani,1,1845.00,1845.00,0.04
221,Paithani,2,748.12,1496.24,0.03
222,Paithani  Border,1,389.00,389.00,0.01
224,Paithani Border,1,430.50,430.50,0.01
224,Paithani Border,2,435.78,871.56,0.02
224,Paithani Border,1,840.00,840.00,0.02
224,Paithani Border,2,719.00,1438.00,0.03
227,"Paithani,",1,399.00,399.00,0.01
227,"Paithani,",2,262.50,525.00,0.01
227,"Paithani,",4,368.00,1472.00,0.03
227,"Paithani,",1,1102.51,1102.51,0.02
227,"Paithani,",4,393.75,1575.00,0.04
230,Paithani.. ..,7,273.00,1911.00,0.04
231,Paithani...,7,199.50,1396.50,0.03
233,Party Wear,1,1459.51,1459.51,0.03
233,Party Wear,1,1564.51,1564.51,0.04
235,Patola,1,788.00,788.00,0.02
235,Patola,1,1392.00,1392.00,0.03
237,Patola Silk,4,304.50,1218.00,0.03
239,Patola..,1,1418.00,1418.00,0.03
240,Patu,1,488.26,488.26,0.01
241,Peshwai,1,635.25,635.25,0.01
242,Peshwai Border,4,420.00,1680.00,0.04
244,Pethani,1,1129.26,1129.26,0.03
245,Pethani Silk,2,367.51,735.02,0.02
245,Pethani Silk,2,368.00,736.00,0.02
245,Pethani Silk,1,393.75,393.75,0.01
245,Pethani Silk,1,372.75,372.75,0.01
245,Pethani Silk,-1,1313.00,-1313.00,-0.03
247,Plain Cotton,3,314.18,942.54,0.02
248,Plain.,5,273.00,1365.00,0.03
248,Plain.,2,262.50,525.00,0.01
249,Printed,1,357.00,357.00,0.01
249,Printed,1,367.50,367.50,0.01
249,Printed,3,357.00,1071.00,0.02
249,Printed,4,367.50,1470.00,0.03
249,Printed,1,341.26,341.26,0.01
249,Printed,1,830.00,830.00,0.02
249,Printed,2,236.25,472.50,0.01
249,Printed,10,152.25,1522.50,0.03
249,Printed,5,315.00,1575.00,0.04
249,Printed,6,310.00,1860.00,0.04
249,Printed,1,273.00,273.00,0.01
249,Printed,2,341.26,682.52,0.02
250,Printed ..,1,179.00,179.00,0.00
251,Printed 9 Yrd,2,320.26,640.52,0.01
252,Printed Art Silk,3,231.00,693.00,0.02
252,Printed Art Silk,1,564.00,564.00,0.01
252,Printed Art Silk,3,252.00,756.00,0.02
254,Printed Border,1,494.00,494.00,0.01
254,Printed Border,1,747.00,747.00,0.02
254,Printed Border,3,574.00,1722.00,0.04
254,Printed Border,2,685.00,1370.00,0.03
254,Printed Border,1,549.00,549.00,0.01
254,Printed Border,1,723.00,723.00,0.02
254,Printed Border,2,409.50,819.00,0.02
254,Printed Border,1,199.50,199.50,0.00
255,Printed Border 2,1,458.00,458.00,0.01
255,Printed Border 2,2,416.00,832.00,0.02
255,Printed Border 2,3,415.80,1247.40,0.03
256,Printed Cotton,1,238.00,238.00,0.01
256,Printed Cotton,2,210.00,420.00,0.01
256,Printed Cotton,2,263.00,526.00,0.01
256,Printed Cotton,1,315.00,315.00,0.01
258,Printed Designer,1,823.00,823.00,0.02
258,Printed Designer,2,623.00,1246.00,0.03
260,Printed Silk,1,310.00,310.00,0.01
260,Printed Silk,1,367.50,367.50,0.01
260,Printed Silk,1,425.25,425.25,0.01
260,Printed Silk,5,378.00,1890.00,0.04
260,Printed Silk,1,352.00,352.00,0.01
260,Printed Silk,8,183.75,1470.00,0.03
260,Printed Silk,1,325.50,325.50,0.01
260,Printed Silk,5,331.00,1655.00,0.04
260,Printed Silk,2,539.00,1078.00,0.02
261,Pure Silk,2,473.00,946.00,0.02
263,Raw Silk,3,582.76,1748.28,0.04
263,Raw Silk,7,273.00,1911.00,0.04
263,Raw Silk,2,351.75,703.50,0.02
264,Raw Silk .,1,577.50,577.50,0.01
265,Rose Gold Broket,2,341.25,682.50,0.02
267,Sambalpuri Cotten,2,924.00,1848.00,0.04
268,Sambal-Puri Cotton,2,777.00,1554.00,0.04
271,Satin,3,630.00,1890.00,0.04
272,Saton,2,546.00,1092.00,0.02
274,Semi,1,273.00,273.00,0.01
276,Semi Kanjivarm,1,431.00,431.00,0.01
277,Semi Kanjiwarm,1,659.00,659.00,0.01
279,Semi Paithani,1,367.50,367.50,0.01
279,Semi Paithani,5,368.00,1840.00,0.04
280,Shallu,1,934.51,934.51,0.02
280,Shallu,1,1354.51,1354.51,0.03
281,Shallu .,1,1549.00,1549.00,0.03
285,Shela,2,415.00,830.00,0.02
285,Shela,3,494.00,1482.00,0.03
285,Shela,2,394.00,788.00,0.02
286,Silk,1,309.38,309.38,0.01
286,Silk,3,312.02,936.06,0.02
289,Silk Saree,3,273.00,819.00,0.02
290,Siroski Work.,1,1258.95,1258.95,0.03
291,Soft  Silk,1,1144.50,1144.50,0.03
291,Soft  Silk,1,1649.00,1649.00,0.04
291,Soft  Silk,1,525.00,525.00,0.01
293,Soft Silk,1,525.00,525.00,0.01
293,Soft Silk,1,473.00,473.00,0.01
293,Soft Silk,1,499.00,499.00,0.01
293,Soft Silk,1,367.50,367.50,0.01
293,Soft Silk,1,1077.00,1077.00,0.02
293,Soft Silk,1,922.70,922.70,0.02
293,Soft Silk,2,656.00,1312.00,0.03
294,Soft Silk .,1,735.00,735.00,0.02
294,Soft Silk .,2,939.76,1879.52,0.04
295,Soft Tissue,2,761.00,1522.00,0.03
296,Softy Silk,1,350.00,350.00,0.01
296,Softy Silk,2,505.00,1010.00,0.02
296,Softy Silk,1,588.00,588.00,0.01
297,South  Silk,2,735.00,1470.00,0.03
299,South Broket,1,998.00,998.00,0.02
300,South Broket1,1,588.00,588.00,0.01
302,South Silk,1,1044.75,1044.75,0.02
302,South Silk,1,688.00,688.00,0.02
302,South Silk,1,645.77,645.77,0.01
302,South Silk,1,777.00,777.00,0.02
302,South Silk,3,473.00,1419.00,0.03
302,South Silk,1,278.25,278.25,0.01
302,South Silk,1,630.00,630.00,0.01
302,South Silk,3,483.00,1449.00,0.03
302,South Silk,3,415.00,1245.00,0.03
304,Synthetic.,6,187.00,1122.00,0.03
305,Takshila,2,724.50,1449.00,0.03
306,Takshila.,2,325.50,651.00,0.01
306,Takshila.,2,588.00,1176.00,0.03
309,Tissu Silk,1,1307.28,1307.28,0.03
309,Tissu Silk,2,740.00,1480.00,0.03
314,Tusser Silk,1,656.00,656.00,0.01
314,Tusser Silk,2,840.00,1680.00,0.04
314,Tusser Silk,2,446.25,892.50,0.02
317,Valkalam,2,331.00,662.00,0.01
317,Valkalam,1,410.00,410.00,0.01
317,Valkalam,1,504.00,504.00,0.01
317,Valkalam,1,448.88,448.88,0.01
