Sr.,Category,Quantity,Rate,Amount,% Amount
96,COTTON SAREE .,1,893.00,893.00,0.02
96,COTTON SAREE .,2,504.00,1008.00,0.02
96,COTTON SAREE .,1,893.00,893.00,0.02
96,COTTON SAREE .,1,556.54,556.54,0.01
97,"COTTON SAREE .,",1,520.00,520.00,0.01
98,"COTTON SAREE,",2,347.00,694.00,0.02
98,"COTTON SAREE,",1,357.00,357.00,0.01
99,"COTTON SAREE,,",1,583.00,583.00,0.01
100,COTTON SAREE..,1,588.00,588.00,0.01
100,COTTON SAREE..,5,357.00,1785.00,0.04
101,COTTON SILK,2,524.00,1048.00,0.02
101,COTTON SILK,1,519.75,519.75,0.01
101,COTTON SILK,1,813.76,813.76,0.02
101,COTTON SILK,1,336.00,336.00,0.01
101,COTTON SILK,2,325.50,651.00,0.01
101,COTTON SILK,1,512.68,512.68,0.01
103,COTTON SILK1,2,551.25,1102.50,0.02
104,CRAPE,3,242.00,726.00,0.02
106,DESIGNER,1,913.00,913.00,0.02
112,DHARMA SILK,1,748.12,748.12,0.02
113,DHARMA VARM,1,693.01,693.01,0.02
115,DIGITAL,2,393.76,787.52,0.02
115,DIGITAL,1,709.00,709.00,0.02
116,DIGITAL  FANCY,1,577.50,577.50,0.01
119,DIGITAL FANCY,1,431.00,431.00,0.01
119,DIGITAL FANCY,2,430.50,861.00,0.02
120,DIGITAL PRINT,1,708.76,708.76,0.02
120,DIGITAL PRINT,1,472.50,472.50,0.01
120,DIGITAL PRINT,2,347.00,694.00,0.02
124,DIGITAL..,1,685.00,685.00,0.02
125,DOLA  SILK,1,326.00,326.00,0.01
126,DOLA BUTI,2,829.50,1659.00,0.04
127,DOLA SILK,1,735.00,735.00,0.02
Sr.,Category,Quantity,Rate,Amount,% Amount
131,FANC Y,1,556.50,556.50,0.01
131,FANC Y,2,603.75,1207.50,0.03
131,FANC Y,2,703.50,1407.00,0.03
131,FANC Y,2,635.25,1270.50,0.03
132,FANCY,1,1034.00,1034.00,0.02
132,FANCY,1,278.25,278.25,0.01
132,FANCY,4,231.00,924.00,0.02
132,FANCY,1,735.00,735.00,0.02
132,FANCY,4,367.50,1470.00,0.03
132,FANCY,2,761.25,1522.50,0.03
134,FANCY  SILK,2,341.00,682.00,0.02
137,FANCY NET,1,573.55,573.55,0.01
138,FANCY PATTU SAREE,1,634.72,634.72,0.01
139,FANCY SAREE,1,708.75,708.75,0.02
140,FANCY SAREE.,1,247.00,247.00,0.01
140,FANCY SAREE.,1,278.00,278.00,0.01
140,FANCY SAREE.,1,404.00,404.00,0.01
141,FANCY SILK,1,252.00,252.00,0.01
141,FANCY SILK,1,273.01,273.01,0.01
141,FANCY SILK,1,965.00,965.00,0.02
142,FANCY SILK ..,1,1013.26,1013.26,0.02
142,FANCY SILK ..,1,819.00,819.00,0.02
144,FANCY.,2,630.00,1260.00,0.03
147,GHADWAL,2,714.00,1428.00,0.03
150,GHADWAL EM,3,324.19,972.57,0.02
150,GHADWAL EM,2,503.73,1007.46,0.02
152,GHADWAL.,1,732.38,732.38,0.02
154,HAND WORK B/P,1,1496.25,1496.25,0.03
157,INDURI BORDER,1,383.00,383.00,0.01
158,IRCAL,1,735.00,735.00,0.02
159,IRKAL,1,777.00,777.00,0.02
160,JAL,2,336.00,672.00,0.02
160,JAL,5,368.00,1840.00,0.04
161,JAL WORK,2,787.50,1575.00,0.04
Sr.,Category,Quantity,Rate,Amount,% Amount
166,JARI,1,1102.52,1102.52,0.02
171,KADIYAL SILK,1,1260.00,1260.00,0.03
172,KALMKARI,6,274.00,1644.00,0.04
173,KALYANI,2,693.00,1386.00,0.03
174,KANJIVARAM,1,1045.00,1045.00,0.02
174,KANJIVARAM,1,1354.51,1354.51,0.03
174,KANJIVARAM,2,919.00,1838.00,0.04
174,KANJIVARAM,1,573.57,573.57,0.01
175,KANJIVARM,2,549.00,1098.00,0.02
175,KANJIVARM,2,673.30,1346.60,0.03
176,KANJIWARM,1,862.00,862.00,0.02
176,KANJIWARM,1,1392.00,1392.00,0.03
176,KANJIWARM,2,504.00,1008.00,0.02
176,KANJIWARM,1,656.27,656.27,0.01
176,KANJIWARM,3,278.00,834.00,0.02
178,KERLA,1,629.98,629.98,0.01
179,KERLA COTTON,2,299.26,598.52,0.01
182,KOCHAMPALI SILK,1,599.00,599.00,0.01
186,LINAN,1,378.00,378.00,0.01
186,LINAN,2,368.00,736.00,0.02
188,LINAN.,1,773.00,773.00,0.02
189,LINEN,1,513.70,513.70,0.01
189,LINEN,6,220.50,1323.00,0.03
190,LINEN COTTEN,1,378.00,378.00,0.01
196,MALAI SILK,1,283.00,283.00,0.01
197,MAU  SILK,2,708.74,1417.48,0.03
197,MAU  SILK,2,940.00,1880.00,0.04
197,MAU  SILK,1,761.00,761.00,0.02
197,MAU  SILK,2,488.00,976.00,0.02
197,MAU  SILK,1,467.00,467.00,0.01
197,MAU  SILK,1,315.00,315.00,0.01
Sr.,Category,Quantity,Rate,Amount,% Amount
199,MAU SILK,1,624.76,624.76,0.01
199,MAU SILK,2,708.74,1417.48,0.03
199,MAU SILK,1,887.00,887.00,0.02
199,MAU SILK,2,898.00,1796.00,0.04
202,MAYSURE SILK,1,776.00,776.00,0.02
204,MOSS CRAPE,6,215.25,1291.50,0.03
205,MUL COTTAN,3,625.00,1875.00,0.04
207,MUNIYA PAITHANI,2,648.00,1296.00,0.03
207,MUNIYA PAITHANI,2,648.37,1296.74,0.03
208,NARAYAN PETH,1,540.75,540.75,0.01
208,NARAYAN PETH,1,688.00,688.00,0.02
208,NARAYAN PETH,1,368.00,368.00,0.01
211,NATH PAITHANI,2,514.50,1029.00,0.02
211,NATH PAITHANI,1,1044.76,1044.76,0.02
213,NAUVARI PRINTED,1,550.19,550.19,0.01
213,NAUVARI PRINTED,1,550.00,550.00,0.01
216,NAVVARI PRINTED,3,550.21,1650.63,0.04
221,PAITHANI,1,1228.51,1228.51,0.03
221,PAITHANI,1,1543.52,1543.52,0.03
221,PAITHANI,1,1417.50,1417.50,0.03
221,PAITHANI,1,1575.00,1575.00,0.04
221,PAITHANI,1,1025.00,1025.00,0.02
221,PAITHANI,1,1375.00,1375.00,0.03
221,PAITHANI,1,1845.00,1845.00,0.04
221,PAITHANI,2,748.12,1496.24,0.03
222,PAITHANI  BORDER,1,389.00,389.00,0.01
Sr.,Category,Quantity,Rate,Amount,% Amount
224,PAITHANI BORDER,1,430.50,430.50,0.01
224,PAITHANI BORDER,2,435.78,871.56,0.02
224,PAITHANI BORDER,1,840.00,840.00,0.02
224,PAITHANI BORDER,2,719.00,1438.00,0.03
227,"PAITHANI,",1,399.00,399.00,0.01
227,"PAITHANI,",2,262.50,525.00,0.01
227,"PAITHANI,",4,368.00,1472.00,0.03
227,"PAITHANI,",1,1102.51,1102.51,0.02
227,"PAITHANI,",4,393.75,1575.00,0.04
230,PAITHANI.. ..,7,273.00,1911.00,0.04
231,PAITHANI...,7,199.50,1396.50,0.03
233,PARTY WEAR,1,1459.51,1459.51,0.03
233,PARTY WEAR,1,1564.51,1564.51,0.04
235,PATOLA,1,788.00,788.00,0.02
235,PATOLA,1,1392.00,1392.00,0.03
237,PATOLA SILK,4,304.50,1218.00,0.03
239,PATOLA..,1,1418.00,1418.00,0.03
240,PATU,1,488.26,488.26,0.01
241,PESHWAI,1,635.25,635.25,0.01
241,PESHWAI,1,635.25,635.25,0.01
242,PESHWAI BORDER,4,420.00,1680.00,0.04
244,PETHANI,1,1129.26,1129.26,0.03
245,PETHANI SILK,2,367.51,735.02,0.02
245,PETHANI SILK,2,368.00,736.00,0.02
245,PETHANI SILK,1,393.75,393.75,0.01
245,PETHANI SILK,1,372.75,372.75,0.01
Sr.,Category,Quantity,Rate,Amount,% Amount
245,PETHANI SILK,-1,1313.00,-1313.00,-0.03
247,PLAIN COTTON,3,314.18,942.54,0.02
