Sr.,Category,Quantity,Rate,Amount,% Amount
47,BANARSI SOFT SILK,5,1628.00,8140.00,0.18
48,BANDHANI,2,1057.18,2114.36,0.05
48,BANDHANI,1,1055.00,1055.00,0.02
48,BANDHANI,5,1856.00,9280.00,0.21
48,BANDHANI,3,1859.37,5578.11,0.13
49,BANDHNI,4,973.00,3892.00,0.09
50,BATIK,4,420.00,1680.00,0.04
51,BATIK  SILK,16,210.00,3360.00,0.08
52,BATIK PRINT,107,194.25,20784.75,0.47
56,BNS FANCY BLOUSE,6,1222.00,7332.00,0.17
56,BNS FANCY BLOUSE,6,1234.00,7404.00,0.17
56,BNS FANCY BLOUSE,6,1313.00,7878.00,0.18
56,BNS FANCY BLOUSE,7,1365.00,9555.00,0.22
57,BRAIDAL BROKET,1,2489.00,2489.00,0.06
57,BRAIDAL BROKET,3,2988.00,8964.00,0.20
57,BRAIDAL BROKET,2,3486.00,6972.00,0.16
57,BRAIDAL BROKET,1,3985.00,3985.00,0.09
57,BRAIDAL BROKET,1,1884.73,1884.73,0.04
57,BRAIDAL BROKET,1,2289.00,2289.00,0.05
57,BRAIDAL BROKET,2,3686.00,7372.00,0.17
57,BRAIDAL BROKET,4,1884.73,7538.92,0.17
58,BRASO,1,498.76,498.76,0.01
58,BRASO,2,1370.00,2740.00,0.06
58,BRASO,1,1129.00,1129.00,0.03
58,BRASO,3,732.00,2196.00,0.05
58,BRASO,2,1224.00,2448.00,0.06
59,BRASSO,13,368.00,4784.00,0.11
59,BRASSO,1,520.00,520.00,0.01
59,BRASSO,3,704.00,2112.00,0.05
63,BROKET,12,472.51,5670.12,0.13
63,BROKET,1,284.00,284.00,0.01
64,BROKET    .,6,541.00,3246.00,0.07
64,BROKET    .,2,551.25,1102.50,0.02
64,BROKET    .,14,231.00,3234.00,0.07
65,BROKET DIMOND,3,1258.93,3776.79,0.09
65,BROKET DIMOND,38,204.75,7780.50,0.18
Sr.,Category,Quantity,Rate,Amount,% Amount
66,BROKET PAITHANI,6,1312.51,7875.06,0.18
67,BROKET SILK.,19,185.00,3515.00,0.08
67,BROKET SILK.,22,252.00,5544.00,0.13
67,BROKET SILK.,14,267.75,3748.50,0.08
67,BROKET SILK.,83,268.00,22244.00,0.50
67,BROKET SILK.,15,257.00,3855.00,0.09
67,BROKET SILK.,3,862.06,2586.18,0.06
67,BROKET SILK.,3,399.00,1197.00,0.03
68,CATLOG SAREE,2,798.00,1596.00,0.04
68,CATLOG SAREE,7,682.50,4777.50,0.11
72,CHANDRAKOR PAITHANI,1,315.00,315.00,0.01
72,CHANDRAKOR PAITHANI,1,640.52,640.52,0.01
72,CHANDRAKOR PAITHANI,3,839.00,2517.00,0.06
